chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode,xmldocversion,lastupdatetime,latitude,longitude,,,,
7290725900003,09/06/2015 17:24,0,47,0,1,יינות ביתן מרכז הרשת,,47 כ-חנ תל אביב,נחלת יצחק 20,תל אביב,6744818,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,48,0,1,יינות ביתן מרכז הרשת,,48 כ-חנ אשדוד,גיא אוני 1,אשדוד,7764449,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,49,0,1,יינות ביתן מרכז הרשת,,49 כ-חנ טירת הכרמל,קרן היסוד 2,טירת הכרמל,3902621,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,52,0,1,יינות ביתן מרכז הרשת,,52 כ-חנ יבנה,המיסב 7,יבנה,8121307,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,53,0,1,יינות ביתן מרכז הרשת,,53 כמ-חנ נהריה,הגדוד העברי 21,נהריה,2226908,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,55,0,1,יינות ביתן מרכז הרשת,,55 כ-חנ דליית אל כרמל,דרך ראשית 672,דליית אל כרמל,3005600,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,56,0,1,יינות ביתן מרכז הרשת,,56 כ-חנ ערד,התעשיה 60,ערד,8909424,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,57,0,1,יינות ביתן מרכז הרשת,,57 כ-חנ בית שאן,א.ת צפוני,בית שאן,1172504,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,60,0,1,יינות ביתן מרכז הרשת,,60 בסיטי אשדוד,,,,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,61,0,1,יינות ביתן מרכז הרשת,,61 בסיטי נתניה,הארי 12,נתניה,4252611,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,62,0,1,יינות ביתן מרכז הרשת,,62 בסיטי מודיעין,עמק החולה 76,מודיעין,7170399,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,63,0,1,יינות ביתן מרכז הרשת,,63 בסיטי קרית ראשון,החלמונית 29,ראשון לציון,7542033,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,64,0,1,יינות ביתן מרכז הרשת,,64 הרצליה ליד הבית,רבי עקיבא 50,הרצליה,4642360,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,65,0,1,יינות ביתן מרכז הרשת,,65 בסיטי אשקלון,קיבוץ גלויות 5,אשקלון,7834104,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,67,0,1,יינות ביתן מרכז הרשת,,67 חולון ליד הבית,המרגנית 2,חולון,5845909,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,71,0,1,יינות ביתן מרכז הרשת,,71 כ-חנ כוכב יאיר,דרך המרכז,4,4486400,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,72,0,1,יינות ביתן מרכז הרשת,,72 כ-חנ מגדל העמק,רמת יזראעל 11,מגדל העמק,38830,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,73,0,1,יינות ביתן מרכז הרשת,,73 כ-חנ עתלית,רחוב הרדוף,עתלית,3030000,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,74,0,1,יינות ביתן מרכז הרשת,,74 כ-חנ רמלה לוין,אבא אחימאיר 1,רמלה לוין,7228401,NA,NA,,,,,,
